product_code;Nazwa produktu;Kod wariantu;Cena;Typ ceny;Cena zakupu;Stan magazynowy;Grupa opcji;Opcje (nazwa | typ | wartość)
26-00150-14;Koszulka Mayoral 00150-14;26-00150-14_2;52,90;1;0;1;Warianty dla ubrań (bez kolorów);Rozmiar | select | 92cm (2 Lata)
26-00150-14;Koszulka Mayoral 00150-14;26-00150-14_3;52,90;1;0;1;Warianty dla ubrań (bez kolorów);Rozmiar | select | 98cm (3 lata)
26-00150-14;Koszulka Mayoral 00150-14;26-00150-14_4;52,90;1;0;1;Warianty dla ubrań (bez kolorów);Rozmiar | select | 104cm (4 Lata)
26-00150-14;Koszulka Mayoral 00150-14;26-00150-14_5;52,90;1;0;1;Warianty dla ubrań (bez kolorów);Rozmiar | select | 110cm (5 Lat)
26-00150-14;Koszulka Mayoral 00150-14;26-00150-14_6;52,90;1;0;1;Warianty dla ubrań (bez kolorów);Rozmiar | select | 116cm (6 Lat)
26-00150-14;Koszulka Mayoral 00150-14;26-00150-14_7;52,90;1;0;1;Warianty dla ubrań (bez kolorów);Rozmiar | select | 122cm (7 Lat)
26-00150-14;Koszulka Mayoral 00150-14;26-00150-14_8;52,90;1;0;1;Warianty dla ubrań (bez kolorów);Rozmiar | select | 128cm ( 8 Lat)
26-00150-14;Koszulka Mayoral 00150-14;26-00150-14_9;52,90;1;0;1;Warianty dla ubrań (bez kolorów);Rozmiar | select | 134cm (9 Lat)
26-00150-16;Koszulka Mayoral 00150-16;26-00150-16_2;52,90;1;0;1;Warianty dla ubrań (bez kolorów);Rozmiar | select | 92cm (2 Lata)
26-00150-16;Koszulka Mayoral 00150-16;26-00150-16_3;52,90;1;0;1;Warianty dla ubrań (bez kolorów);Rozmiar | select | 98cm (3 lata)
26-00150-16;Koszulka Mayoral 00150-16;26-00150-16_4;52,90;1;0;1;Warianty dla ubrań (bez kolorów);Rozmiar | select | 104cm (4 Lata)
